Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,efg%,PTS,FantasyPts,isWCC
Shorna Preston,#12,Pepperdine Waves,Washington State Cougars,0,12/28/25,29,0,11,11,4,2,1,4,3,1,7,0,3,2,4,0.143,4,20.0,True
Ellison Guiney,#2,Pepperdine Waves,Washington State Cougars,0,12/28/25,40,0,2,2,1,0,0,7,3,9,11,6,7,2,3,1.091,26,38.0,True
Taija Sta. Maria,#1,Pepperdine Waves,Washington State Cougars,0,12/28/25,27,0,3,3,3,2,0,2,2,1,4,0,1,1,2,0.25,3,14.0,True
Lina Falk,#22,Pepperdine Waves,Washington State Cougars,0,12/28/25,36,1,2,3,0,0,0,0,4,2,6,0,2,2,2,0.333,6,8.0,True
Meghan Fiso,#13,Pepperdine Waves,Washington State Cougars,0,12/28/25,35,0,7,7,1,1,0,2,1,7,13,2,3,4,5,0.615,20,40.0,True
Seleh Harmon,#30,Pepperdine Waves,Washington State Cougars,0,12/28/25,22,1,1,2,3,0,1,0,3,0,4,0,2,2,2,0.0,2,12.0,True
Bella Green,#3,Pepperdine Waves,Washington State Cougars,0,12/28/25,11,0,3,3,1,0,0,0,0,1,2,0,0,0,0,0.5,2,9.0,True
Malia Ruud,#55,Washington State Cougars,Pepperdine Waves,1,12/28/25,35,0,1,1,1,2,1,2,3,4,12,1,5,1,2,0.375,10,18.0,True
Alex Covill,#33,Washington State Cougars,Pepperdine Waves,1,12/28/25,12,0,2,2,0,1,0,3,2,2,6,0,0,0,0,0.333,4,3.0,True
Charlotte Abraham,#10,Washington State Cougars,Pepperdine Waves,1,12/28/25,38,4,6,10,2,1,0,2,3,6,10,4,5,0,2,0.8,16,42.0,True
Marta Alsina,#12,Washington State Cougars,Pepperdine Waves,1,12/28/25,15,0,4,4,0,1,0,0,4,1,3,1,1,2,2,0.5,5,16.0,True
Eleonora Villa,#2,Washington State Cougars,Pepperdine Waves,1,12/28/25,38,1,3,4,2,3,0,0,4,7,22,1,7,2,3,0.341,17,33.0,True
Tanja Valancic,#9,Washington State Cougars,Pepperdine Waves,1,12/28/25,27,0,1,1,1,1,0,1,3,1,3,1,3,0,0,0.5,3,8.0,True
Lauren Glazier,#25,Washington State Cougars,Pepperdine Waves,1,12/28/25,4,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0.0,0,5.0,True
Malvina Haziri,#1,Washington State Cougars,Pepperdine Waves,1,12/28/25,5,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0.0,0,1.0,True
Keandra Koorits,#15,Washington State Cougars,Pepperdine Waves,1,12/28/25,3,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0.5,2,8.0,True
Mackenzie Chatfield,#8,Washington State Cougars,Pepperdine Waves,1,12/28/25,23,3,1,4,5,0,0,1,2,4,7,0,0,1,1,0.571,9,32.0,True
Ayla Williams,#22,San Diego Toreros,Santa Clara Broncos,0,12/28/25,14,2,6,8,3,0,0,1,2,0,3,0,0,0,2,0.0,0,10.0,True
Olivia Owens,#24,San Diego Toreros,Santa Clara Broncos,0,12/28/25,24,0,5,5,3,2,0,1,3,3,9,0,4,2,2,0.333,8,24.0,True
Lilly Amor,#3,San Diego Toreros,Santa Clara Broncos,0,12/28/25,24,0,1,1,1,0,0,2,2,3,7,3,7,0,0,0.643,9,10.0,True
Kylie Ray,#6,San Diego Toreros,Santa Clara Broncos,0,12/28/25,26,0,5,5,1,1,0,5,1,4,16,0,3,2,2,0.25,10,3.0,True
Hallie Rhodes,#20,San Diego Toreros,Santa Clara Broncos,0,12/28/25,25,1,3,4,3,0,1,3,1,3,14,0,1,0,1,0.214,6,8.0,True
Eva Ruse,#15,San Diego Toreros,Santa Clara Broncos,0,12/28/25,12,1,1,2,0,0,1,1,2,0,1,0,0,2,4,0.0,2,3.0,True
Dresha Moore,#1,San Diego Toreros,Santa Clara Broncos,0,12/28/25,21,1,6,7,0,1,0,0,1,3,8,0,3,0,0,0.375,6,14.0,True
Helen Holley,#10,San Diego Toreros,Santa Clara Broncos,0,12/28/25,19,1,4,5,0,0,1,0,3,0,2,0,0,0,2,0.0,0,4.0,True
Jessica Ajayi,#4,San Diego Toreros,Santa Clara Broncos,0,12/28/25,5,0,0,0,1,0,1,1,0,0,3,0,2,0,0,0.0,0,-1.0,True
Ysabella Von Seipler,#0,San Diego Toreros,Santa Clara Broncos,0,12/28/25,11,1,3,4,0,0,0,1,2,0,1,0,0,1,2,0.0,1,1.0,True
Jayden Rhodes,#19,San Diego Toreros,Santa Clara Broncos,0,12/28/25,19,1,3,4,0,0,0,0,3,2,3,0,1,0,0,0.667,4,10.0,True
Ava Schmidt,#13,Santa Clara Broncos,San Diego Toreros,1,12/28/25,26,0,3,3,1,1,3,0,1,1,5,1,3,0,0,0.3,3,22.0,True
Kylee Fox,#30,Santa Clara Broncos,San Diego Toreros,1,12/28/25,24,3,5,8,2,1,0,0,1,3,13,1,6,0,0,0.269,7,18.0,True
Sophie Glancey,#12,Santa Clara Broncos,San Diego Toreros,1,12/28/25,14,1,3,4,2,1,1,0,3,3,11,0,3,2,2,0.273,8,22.0,True
Ashley Hawkins,#23,Santa Clara Broncos,San Diego Toreros,1,12/28/25,25,1,6,7,5,1,0,3,0,4,9,2,4,2,2,0.556,12,36.0,True
Maia Jones,#9,Santa Clara Broncos,San Diego Toreros,1,12/28/25,19,1,5,6,1,1,0,1,3,3,8,2,6,5,7,0.5,13,24.0,True
Tyler Gildersleeve-Stiles,#34,Santa Clara Broncos,San Diego Toreros,1,12/28/25,15,1,3,4,0,1,0,1,1,1,2,0,0,1,2,0.5,3,10.0,True
Lauren Grover,#10,Santa Clara Broncos,San Diego Toreros,1,12/28/25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1.0,True
Alana Goodchild,#11,Santa Clara Broncos,San Diego Toreros,1,12/28/25,6,1,1,2,0,1,0,0,0,0,5,0,3,0,0,0.0,0,-2.0,True
Delainey Miller,#20,Santa Clara Broncos,San Diego Toreros,1,12/28/25,21,1,7,8,0,0,0,3,1,2,10,0,1,3,5,0.2,7,3.0,True
Sienna Grieger,#6,Santa Clara Broncos,San Diego Toreros,1,12/28/25,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,1.0,True
Kate Schat,#3,Santa Clara Broncos,San Diego Toreros,1,12/28/25,20,0,2,2,1,1,0,0,0,5,8,3,6,1,2,0.812,14,32.0,True
Aniya Hooker,#2,Santa Clara Broncos,San Diego Toreros,1,12/28/25,24,4,3,7,5,2,0,2,2,0,3,0,1,1,2,0.0,1,22.0,True
Tamia Stricklin,#14,Seattle U Redhawks,Pacific Tigers,0,12/28/25,30,1,7,8,2,1,0,4,4,5,11,1,3,2,2,0.5,13,25.0,True
Lucija Milkovic,#7,Seattle U Redhawks,Pacific Tigers,0,12/28/25,23,2,3,5,1,0,0,3,3,3,7,1,2,2,2,0.5,9,13.0,True
Dylan Mogel,#5,Seattle U Redhawks,Pacific Tigers,0,12/28/25,20,0,6,6,0,1,1,1,1,1,3,0,0,0,0,0.333,2,12.0,True
Sydnie Rodriguez,#24,Seattle U Redhawks,Pacific Tigers,0,12/28/25,35,1,3,4,2,0,0,0,3,5,9,0,2,4,5,0.556,14,29.0,True
Ella Brubaker,#3,Seattle U Redhawks,Pacific Tigers,0,12/28/25,37,1,3,4,1,1,0,3,1,6,14,1,4,1,1,0.464,14,20.0,True
Fia Proctor,#4,Seattle U Redhawks,Pacific Tigers,0,12/28/25,5,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0.0,0,-4.0,True
Jana Vesic,#9,Seattle U Redhawks,Pacific Tigers,0,12/28/25,27,0,2,2,1,1,0,2,1,2,6,2,2,6,6,0.5,12,22.0,True
Chloe Emanga,#8,Seattle U Redhawks,Pacific Tigers,0,12/28/25,23,2,1,3,1,0,1,2,2,0,4,0,1,2,2,0.0,2,2.0,True
Winner Bartholomew,#25,Pacific Tigers,Seattle U Redhawks,1,12/28/25,25,5,3,8,0,1,0,0,3,6,11,0,0,2,4,0.545,14,32.0,True
Daria Nestorov,#21,Pacific Tigers,Seattle U Redhawks,1,12/28/25,34,1,4,5,4,3,0,2,4,8,16,3,6,0,0,0.594,19,52.0,True
Nyah Lowery,#15,Pacific Tigers,Seattle U Redhawks,1,12/28/25,36,3,5,8,2,1,0,1,2,6,14,2,8,1,1,0.5,15,32.0,True
Stella Szabo,#5,Pacific Tigers,Seattle U Redhawks,1,12/28/25,29,1,0,1,3,1,0,0,2,2,8,1,6,0,0,0.312,5,14.0,True
Sydney Ward,#10,Pacific Tigers,Seattle U Redhawks,1,12/28/25,25,1,7,8,2,1,0,1,2,3,6,1,2,3,3,0.583,10,31.0,True
Luisa Anderegg,#11,Pacific Tigers,Seattle U Redhawks,1,12/28/25,4,1,0,1,0,0,0,2,0,1,1,1,1,0,0,1.5,3,4.0,True
Sophia Mindermann,#8,Pacific Tigers,Seattle U Redhawks,1,12/28/25,12,0,1,1,1,0,0,0,3,1,3,1,3,1,2,0.5,4,8.0,True
Liv Yergensen,#7,Pacific Tigers,Seattle U Redhawks,1,12/28/25,10,0,0,0,0,0,0,1,1,1,4,1,4,0,0,0.375,3,-1.0,True
Marina Radocaj,#9,Pacific Tigers,Seattle U Redhawks,1,12/28/25,25,0,4,4,3,2,2,0,1,6,10,0,0,0,1,0.6,12,47.0,True
Lizzy Williamson,#15,Oregon State Beavers,San Francisco Dons,1,12/28/25,17,1,2,3,1,0,0,2,1,2,2,0,0,0,0,1.0,4,10.0,True
Ally Schimel,#4,Oregon State Beavers,San Francisco Dons,1,12/28/25,28,0,4,4,2,1,0,0,0,3,5,3,3,0,0,0.9,9,32.0,True
Jenna Villa,#3,Oregon State Beavers,San Francisco Dons,1,12/28/25,33,0,6,6,3,1,1,2,1,8,16,3,6,5,5,0.594,24,54.0,True
Kennedie Shuler,#1,Oregon State Beavers,San Francisco Dons,1,12/28/25,34,2,3,5,4,1,1,2,3,8,16,0,0,3,4,0.5,19,48.0,True
Tiara Bolden,#0,Oregon State Beavers,San Francisco Dons,1,12/28/25,25,1,4,5,1,2,0,2,3,1,8,0,4,6,8,0.125,8,11.0,True
Lara Alonso-Basurto,#22,Oregon State Beavers,San Francisco Dons,1,12/28/25,13,0,0,0,0,0,1,3,1,2,3,1,1,0,0,0.833,5,6.0,True
Nene Sow,#32,Oregon State Beavers,San Francisco Dons,1,12/28/25,19,2,8,10,0,0,3,2,3,1,2,0,0,1,2,0.5,3,20.0,True
Keira Lindemans,#25,Oregon State Beavers,San Francisco Dons,1,12/28/25,14,0,1,1,2,1,0,1,2,1,2,0,0,0,0,0.5,2,12.0,True
Cloe Vecina,#31,Oregon State Beavers,San Francisco Dons,1,12/28/25,17,0,0,0,2,1,0,3,2,0,1,0,0,0,0,0.0,0,2.0,True
Noelia Mourio,#3,San Francisco Dons,Oregon State Beavers,0,12/28/25,23,1,2,3,3,1,0,1,4,5,10,0,1,2,2,0.5,12,30.0,True
Aina Cargol,#9,San Francisco Dons,Oregon State Beavers,0,12/28/25,39,0,2,2,1,1,0,3,3,5,12,2,3,3,4,0.5,15,22.0,True
Meghan McIntyre,#4,San Francisco Dons,Oregon State Beavers,0,12/28/25,14,2,4,6,1,3,0,1,1,2,3,0,1,0,0,0.667,4,23.0,True
Candy Edokpaigbe,#23,San Francisco Dons,Oregon State Beavers,0,12/28/25,34,3,3,6,2,0,0,2,4,3,9,0,1,8,8,0.333,14,24.0,True
Mara Neira,#2,San Francisco Dons,Oregon State Beavers,0,12/28/25,28,0,5,5,1,0,0,2,1,2,8,1,6,0,0,0.312,5,2.0,True
Natasa Tausova,#12,San Francisco Dons,Oregon State Beavers,0,12/28/25,28,1,0,1,1,0,0,2,4,5,9,1,2,0,0,0.611,11,16.0,True
Sol Castro,#24,San Francisco Dons,Oregon State Beavers,0,12/28/25,17,0,0,0,1,1,0,0,1,1,6,0,0,0,1,0.167,2,4.0,True
Paula Tirado,#22,San Francisco Dons,Oregon State Beavers,0,12/28/25,17,0,5,5,1,1,0,3,1,1,4,0,1,0,0,0.25,2,4.0,True
Lainey Spear,#20,Portland Pilots,Saint Mary's Gaels,1,12/28/25,22,0,2,2,1,1,0,4,3,3,7,0,0,1,3,0.429,7,7.0,True
Julia Dalan,#44,Portland Pilots,Saint Mary's Gaels,1,12/28/25,23,2,4,6,1,0,3,3,1,4,9,0,0,0,0,0.444,8,24.0,True
Rhyan Mogel,#22,Portland Pilots,Saint Mary's Gaels,1,12/28/25,28,1,4,5,7,1,0,2,3,3,6,1,2,2,4,0.583,9,37.0,True
Dyani Ananiev,#2,Portland Pilots,Saint Mary's Gaels,1,12/28/25,36,2,2,4,1,3,2,1,3,4,13,3,8,0,0,0.423,11,32.0,True
Florence Dallow,#3,Portland Pilots,Saint Mary's Gaels,1,12/28/25,33,2,5,7,3,2,1,3,2,2,7,1,4,3,3,0.357,8,27.0,True
Ella Zimmerman,#42,Portland Pilots,Saint Mary's Gaels,1,12/28/25,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,4.0,True
Jada Kennedy,#9,Portland Pilots,Saint Mary's Gaels,1,12/28/25,13,4,2,6,0,0,0,1,2,2,4,0,0,0,0,0.5,4,10.0,True
Brynn Smith,#12,Portland Pilots,Saint Mary's Gaels,1,12/28/25,5,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0.75,3,6.0,True
Tiffany Barbosa,#7,Portland Pilots,Saint Mary's Gaels,1,12/28/25,17,1,0,1,1,1,0,1,0,1,2,0,1,0,0,0.5,2,8.0,True
Nicole Anderson,#17,Portland Pilots,Saint Mary's Gaels,1,12/28/25,19,0,0,0,2,0,1,2,0,4,6,3,5,0,0,0.917,11,25.0,True
Edie Clarke,#7,Saint Mary's Gaels,Portland Pilots,0,12/28/25,24,2,5,7,3,0,1,2,1,8,11,1,1,1,2,0.773,18,46.0,True
Addi Wedin,#23,Saint Mary's Gaels,Portland Pilots,0,12/28/25,28,2,4,6,1,1,0,2,1,3,11,2,5,0,0,0.364,8,14.0,True
Mauriana Hashemian-Orr,#3,Saint Mary's Gaels,Portland Pilots,0,12/28/25,30,1,3,4,5,3,0,1,3,1,6,0,1,0,1,0.167,2,24.0,True
Emily Foy,#8,Saint Mary's Gaels,Portland Pilots,0,12/28/25,25,0,1,1,4,0,0,3,2,3,6,1,4,0,0,0.583,7,14.0,True
Malia Latu,#13,Saint Mary's Gaels,Portland Pilots,0,12/28/25,21,0,0,0,3,3,0,1,1,2,9,0,1,0,0,0.222,4,17.0,True
Abigail Shoff,#5,Saint Mary's Gaels,Portland Pilots,0,12/28/25,19,0,1,1,0,1,0,0,0,3,11,0,3,1,2,0.273,7,6.0,True
Melesungu Afeaki,#22,Saint Mary's Gaels,Portland Pilots,0,12/28/25,6,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1.0,2,4.0,True
Georgia Grigoropoulou,#10,Saint Mary's Gaels,Portland Pilots,0,12/28/25,9,3,1,4,0,0,1,0,2,2,3,0,0,0,0,0.667,4,14.0,True
Amy Kurkowski,#2,Saint Mary's Gaels,Portland Pilots,0,12/28/25,8,1,0,1,0,1,0,1,0,0,0,0,0,2,2,,2,5.0,True
Jada Hunter,#0,Saint Mary's Gaels,Portland Pilots,0,12/28/25,23,0,1,1,1,0,0,1,3,2,3,0,1,1,2,0.667,5,8.0,True
Ella Wedin,#33,Saint Mary's Gaels,Portland Pilots,0,12/28/25,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,1.0,True
Charlece Ohiaeri,#4,Saint Mary's Gaels,Portland Pilots,0,12/28/25,5,0,1,1,0,1,0,1,1,0,2,0,1,0,0,0.0,0,-1.0,True
Maya Hernandez,#55,Loyola Marymount Lions,Gonzaga Bulldogs,0,12/28/25,31,4,1,5,2,0,0,2,5,8,12,0,0,2,4,0.667,18,35.0,True
Ivana Krajina,#13,Loyola Marymount Lions,Gonzaga Bulldogs,0,12/28/25,14,0,1,1,2,0,0,2,1,0,1,0,0,0,0,0.0,0,1.0,True
Jess Lawson,#0,Loyola Marymount Lions,Gonzaga Bulldogs,0,12/28/25,23,2,2,4,0,2,0,2,5,4,10,0,0,4,7,0.4,12,19.0,True
Andjela Matic,#28,Loyola Marymount Lions,Gonzaga Bulldogs,0,12/28/25,48,0,6,6,5,0,0,3,1,2,11,1,7,0,0,0.227,5,9.0,True
Carly Heidger,#5,Loyola Marymount Lions,Gonzaga Bulldogs,0,12/28/25,37,2,3,5,0,1,0,0,2,3,9,1,5,4,4,0.389,11,19.0,True
Kayla Jones,#24,Loyola Marymount Lions,Gonzaga Bulldogs,0,12/28/25,8,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1.0,2,8.0,True
Paula Reus Piza,#30,Loyola Marymount Lions,Gonzaga Bulldogs,0,12/28/25,27,0,3,3,1,0,0,0,0,3,7,1,2,0,0,0.5,7,16.0,True
Zawadi Ogot,#54,Loyola Marymount Lions,Gonzaga Bulldogs,0,12/28/25,30,1,2,3,1,1,0,1,3,4,7,0,0,0,0,0.571,8,20.0,True
Allison Clarke,#4,Loyola Marymount Lions,Gonzaga Bulldogs,0,12/28/25,32,0,0,0,2,1,0,1,0,4,12,4,12,5,5,0.5,17,24.0,True
Lauren Whittaker,#33,Gonzaga Bulldogs,Loyola Marymount Lions,1,12/28/25,38,6,10,16,2,2,0,3,4,8,18,0,2,2,2,0.444,18,46.0,True
Taylor Smith,#20,Gonzaga Bulldogs,Loyola Marymount Lions,1,12/28/25,33,1,5,6,3,0,1,0,1,4,9,0,1,0,0,0.444,8,30.0,True
Zeryhia Aokuso,#55,Gonzaga Bulldogs,Loyola Marymount Lions,1,12/28/25,31,0,2,2,1,0,0,4,1,3,8,0,1,2,2,0.375,8,5.0,True
Allie Turner,#11,Gonzaga Bulldogs,Loyola Marymount Lions,1,12/28/25,46,0,2,2,6,1,0,1,2,7,13,2,3,4,4,0.615,20,54.0,True
Ines Bettencourt,#8,Gonzaga Bulldogs,Loyola Marymount Lions,1,12/28/25,38,2,4,6,3,2,0,3,3,3,6,1,1,0,0,0.583,7,27.0,True
Jaiden Haile,#23,Gonzaga Bulldogs,Loyola Marymount Lions,1,12/28/25,24,1,1,2,0,0,0,2,2,6,10,0,0,0,1,0.6,12,17.0,True
Julia Wilson,#3,Gonzaga Bulldogs,Loyola Marymount Lions,1,12/28/25,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0,3.0,True
Paige Lofing,#1,Gonzaga Bulldogs,Loyola Marymount Lions,1,12/28/25,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,,3,4.0,True
Teryn Gardner,#24,Gonzaga Bulldogs,Loyola Marymount Lions,1,12/28/25,27,2,3,5,1,2,0,1,1,2,3,1,1,4,4,0.833,9,29.0,True
Christabel Osarobo,#12,Gonzaga Bulldogs,Loyola Marymount Lions,1,12/28/25,3,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0.5,2,4.0,True
Ayla Williams,#22,San Diego Toreros,Pacific Tigers,0,12/30/25,9,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0.0,0,-10.0,True
Olivia Owens,#24,San Diego Toreros,Pacific Tigers,0,12/30/25,31,2,4,6,1,2,0,6,4,4,11,1,7,5,6,0.409,14,13.0,True
Lilly Amor,#3,San Diego Toreros,Pacific Tigers,0,12/30/25,28,0,1,1,1,1,0,0,2,0,4,0,3,0,0,0.0,0,0.0,True
Kylie Ray,#6,San Diego Toreros,Pacific Tigers,0,12/30/25,40,0,8,8,4,4,0,2,4,10,22,3,7,6,7,0.523,29,68.0,True
Hallie Rhodes,#20,San Diego Toreros,Pacific Tigers,0,12/30/25,29,0,2,2,0,1,0,1,2,4,10,1,4,2,4,0.45,11,14.0,True
Eva Ruse,#15,San Diego Toreros,Pacific Tigers,0,12/30/25,23,4,2,6,1,0,1,0,1,2,5,0,0,1,2,0.4,5,18.0,True
Dresha Moore,#1,San Diego Toreros,Pacific Tigers,0,12/30/25,8,2,1,3,0,0,0,1,4,0,2,0,0,2,2,0.0,2,2.0,True
Helen Holley,#10,San Diego Toreros,Pacific Tigers,0,12/30/25,24,2,3,5,0,0,0,1,4,3,3,0,0,1,2,1.0,7,15.0,True
Jayden Rhodes,#19,San Diego Toreros,Pacific Tigers,0,12/30/25,8,0,1,1,0,0,0,2,1,0,0,0,0,0,0,,0,-4.0,True
Winner Bartholomew,#25,Pacific Tigers,San Diego Toreros,1,12/30/25,13,1,1,2,0,0,0,2,2,4,9,0,0,0,0,0.444,8,9.0,True
Daria Nestorov,#21,Pacific Tigers,San Diego Toreros,1,12/30/25,27,1,5,6,4,1,0,1,4,4,9,1,2,4,5,0.5,13,38.0,True
Nyah Lowery,#15,Pacific Tigers,San Diego Toreros,1,12/30/25,30,0,2,2,2,2,0,1,1,2,7,1,5,0,2,0.357,5,13.0,True
Stella Szabo,#5,Pacific Tigers,San Diego Toreros,1,12/30/25,32,1,2,3,1,1,0,1,5,1,2,1,2,0,2,0.75,3,10.0,True
Sydney Ward,#10,Pacific Tigers,San Diego Toreros,1,12/30/25,30,1,7,8,2,1,0,1,2,6,8,1,1,6,9,0.812,19,46.0,True
Luisa Anderegg,#11,Pacific Tigers,San Diego Toreros,1,12/30/25,12,0,2,2,0,1,0,0,1,1,3,0,1,0,0,0.333,2,8.0,True
Sophia Mindermann,#8,Pacific Tigers,San Diego Toreros,1,12/30/25,9,0,0,0,0,0,0,2,1,0,1,0,1,3,3,0.0,3,-2.0,True
Liv Yergensen,#7,Pacific Tigers,San Diego Toreros,1,12/30/25,22,0,1,1,2,0,0,1,2,2,3,0,1,6,8,0.667,10,18.0,True
Marina Radocaj,#9,Pacific Tigers,San Diego Toreros,1,12/30/25,25,2,2,4,2,0,2,2,1,4,11,0,0,1,4,0.364,9,20.0,True
Lizzy Williamson,#15,Oregon State Beavers,Saint Mary's Gaels,1,12/30/25,24,1,5,6,2,2,0,1,0,3,6,0,0,2,2,0.5,8,30.0,True
Ally Schimel,#4,Oregon State Beavers,Saint Mary's Gaels,1,12/30/25,31,0,0,0,3,1,1,0,1,2,5,2,4,0,0,0.6,6,25.0,True
Jenna Villa,#3,Oregon State Beavers,Saint Mary's Gaels,1,12/30/25,34,0,2,2,2,2,0,2,2,4,9,2,3,6,6,0.556,16,35.0,True
Kennedie Shuler,#1,Oregon State Beavers,Saint Mary's Gaels,1,12/30/25,37,2,6,8,7,1,2,5,3,3,6,0,0,4,7,0.5,10,40.0,True
Tiara Bolden,#0,Oregon State Beavers,Saint Mary's Gaels,1,12/30/25,30,2,2,4,1,4,0,1,0,4,10,0,5,5,5,0.4,13,32.0,True
Lara Alonso-Basurto,#22,Oregon State Beavers,Saint Mary's Gaels,1,12/30/25,10,1,1,2,0,0,3,1,2,1,3,0,1,0,2,0.333,2,10.0,True
Susana Yepes,#10,Oregon State Beavers,Saint Mary's Gaels,1,12/30/25,8,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0.0,0,-2.0,True
Nene Sow,#32,Oregon State Beavers,Saint Mary's Gaels,1,12/30/25,5,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0.0,0,-2.0,True
Keira Lindemans,#25,Oregon State Beavers,Saint Mary's Gaels,1,12/30/25,16,2,0,2,1,0,0,1,1,1,3,1,2,2,2,0.5,5,10.0,True
Katelyn Field,#2,Oregon State Beavers,Saint Mary's Gaels,1,12/30/25,5,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0.75,3,6.0,True
Edie Clarke,#7,Saint Mary's Gaels,Oregon State Beavers,0,12/30/25,20,4,2,6,1,1,0,0,5,4,9,1,2,0,0,0.5,9,25.0,True
Mauriana Hashemian-Orr,#3,Saint Mary's Gaels,Oregon State Beavers,0,12/30/25,18,0,4,4,3,0,0,0,3,0,1,0,0,2,4,0.0,2,13.0,True
Emily Foy,#8,Saint Mary's Gaels,Oregon State Beavers,0,12/30/25,27,0,4,4,2,0,1,5,2,5,12,1,4,4,4,0.458,15,20.0,True
Charlece Ohiaeri,#4,Saint Mary's Gaels,Oregon State Beavers,0,12/30/25,7,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0.0,0,-2.0,True
Malia Latu,#13,Saint Mary's Gaels,Oregon State Beavers,0,12/30/25,21,0,3,3,3,1,0,4,3,3,6,0,1,0,0,0.5,6,14.0,True
Abigail Shoff,#5,Saint Mary's Gaels,Oregon State Beavers,0,12/30/25,31,2,3,5,1,2,0,0,2,6,10,0,0,2,4,0.6,14,36.0,True
Melesungu Afeaki,#22,Saint Mary's Gaels,Oregon State Beavers,0,12/30/25,6,2,0,2,0,0,0,1,1,1,5,0,1,0,0,0.2,2,-2.0,True
Georgia Grigoropoulou,#10,Saint Mary's Gaels,Oregon State Beavers,0,12/30/25,7,0,1,1,2,0,0,0,0,0,3,0,0,0,2,0.0,0,2.0,True
Addi Wedin,#23,Saint Mary's Gaels,Oregon State Beavers,0,12/30/25,23,0,2,2,2,0,0,0,1,1,1,0,0,0,0,1.0,2,12.0,True
Amy Kurkowski,#2,Saint Mary's Gaels,Oregon State Beavers,0,12/30/25,6,1,0,1,0,1,0,1,1,0,0,0,0,0,0,,0,2.0,True
Jada Hunter,#0,Saint Mary's Gaels,Oregon State Beavers,0,12/30/25,23,0,0,0,1,4,0,1,3,2,7,0,2,0,0,0.286,4,16.0,True
Ella Wedin,#33,Saint Mary's Gaels,Oregon State Beavers,0,12/30/25,11,1,0,1,0,0,0,0,1,1,2,1,2,0,0,0.75,3,6.0,True
Tamia Stricklin,#14,Seattle U Redhawks,Santa Clara Broncos,0,12/30/25,29,2,4,6,3,0,2,2,3,7,13,3,5,0,0,0.654,17,44.0,True
Lucija Milkovic,#7,Seattle U Redhawks,Santa Clara Broncos,0,12/30/25,20,1,5,6,0,0,0,2,2,5,10,0,1,0,1,0.5,10,14.0,True
Dylan Mogel,#5,Seattle U Redhawks,Santa Clara Broncos,0,12/30/25,22,1,0,1,0,1,0,2,0,0,1,0,0,0,0,0.0,0,-2.0,True
Sydnie Rodriguez,#24,Seattle U Redhawks,Santa Clara Broncos,0,12/30/25,25,1,6,7,1,0,1,1,3,2,9,0,2,0,0,0.222,4,10.0,True
Ella Brubaker,#3,Seattle U Redhawks,Santa Clara Broncos,0,12/30/25,32,0,3,3,2,0,0,2,3,5,10,2,5,3,3,0.6,15,26.0,True
