Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,PTS,FantasyPts,isWCC
Lorena Barbosa,#10,Idaho Vandals,Washington State Cougars,1,11/03/25,15,3,1,4,0,0,2,7,4,2,5,0,1,6,7,10,4,False
Ana Pinheiro,#37,Idaho Vandals,Washington State Cougars,1,11/03/25,28,4,3,7,1,1,2,1,4,4,9,0,1,8,10,16,31,False
Ella Uriarte,#5,Idaho Vandals,Washington State Cougars,1,11/03/25,22,0,0,0,1,2,0,0,4,0,0,0,0,1,2,1,12,False
Hope Hassmann,#4,Idaho Vandals,Washington State Cougars,1,11/03/25,31,1,3,4,4,1,0,4,2,7,18,1,3,2,2,17,25,False
Kyra Gardner,#3,Idaho Vandals,Washington State Cougars,1,11/03/25,33,1,7,8,0,5,1,1,1,9,16,6,10,2,3,26,59,False
Sarah Brans,#2,Idaho Vandals,Washington State Cougars,1,11/03/25,16,2,1,3,2,1,1,0,3,2,5,1,3,0,0,5,20,False
Debora dos Santos,#9,Idaho Vandals,Washington State Cougars,1,11/03/25,9,1,2,3,0,0,0,2,0,3,6,0,0,2,4,8,6,False
Katlin Kangur,#14,Idaho Vandals,Washington State Cougars,1,11/03/25,6,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,False
Ana Beatriz Passos Alves da Silva,#23,Idaho Vandals,Washington State Cougars,1,11/03/25,20,3,1,4,0,1,0,2,1,0,2,0,0,0,0,0,3,False
Mary McMorris,#24,Idaho Vandals,Washington State Cougars,1,11/03/25,18,0,2,2,1,0,0,4,4,1,6,0,2,0,0,2,-6,False
Niveya Henley,#21,Idaho Vandals,Washington State Cougars,1,11/03/25,2,1,0,1,0,0,0,0,2,1,1,0,0,0,0,2,5,False
Tanja Valancic,#9,Washington State Cougars,Idaho Vandals,0,11/03/25,13,1,0,1,0,0,0,1,4,0,4,0,1,0,0,0,-6,True
Alex Covill,#33,Washington State Cougars,Idaho Vandals,0,11/03/25,12,2,1,3,2,0,0,3,4,1,4,0,0,0,0,2,3,True
Charlotte Abraham,#10,Washington State Cougars,Idaho Vandals,0,11/03/25,21,1,6,7,3,1,0,3,5,2,6,0,3,6,8,10,17,True
Mackenzie Chatfield,#8,Washington State Cougars,Idaho Vandals,0,11/03/25,30,1,2,3,4,1,0,4,3,2,4,0,0,1,4,5,13,True
Eleonora Villa,#2,Washington State Cougars,Idaho Vandals,0,11/03/25,38,1,1,2,3,2,0,4,1,10,19,2,6,2,4,24,32,True
Malia Ruud,#55,Washington State Cougars,Idaho Vandals,0,11/03/25,21,1,1,2,0,1,1,0,4,4,5,1,1,0,2,9,20,True
Keandra Koorits,#15,Washington State Cougars,Idaho Vandals,0,11/03/25,30,1,5,6,0,0,0,3,3,6,10,3,5,8,9,23,25,True
Marta Alsina,#12,Washington State Cougars,Idaho Vandals,0,11/03/25,31,0,5,5,1,3,2,2,3,5,7,2,4,0,0,12,37,True
Jean Chiu,#5,Washington State Cougars,Idaho Vandals,0,11/03/25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Andjela Bigovic,#6,Seattle U Redhawks,Washington Huskies,0,11/03/25,17,0,1,1,0,0,1,1,0,2,5,0,2,0,0,4,3,True
Tamia Stricklin,#14,Seattle U Redhawks,Washington Huskies,0,11/03/25,24,2,2,4,0,1,0,6,3,6,11,0,0,0,0,12,9,True
Dylan Mogel,#5,Seattle U Redhawks,Washington Huskies,0,11/03/25,27,0,0,0,3,1,0,4,2,0,1,0,0,1,2,1,4,True
Sydnie Rodriguez,#24,Seattle U Redhawks,Washington Huskies,0,11/03/25,26,2,3,5,0,0,0,0,1,1,10,1,8,0,0,3,-6,True
Ella Brubaker,#3,Seattle U Redhawks,Washington Huskies,0,11/03/25,24,2,2,4,2,0,1,3,1,3,9,2,4,0,0,8,12,True
Fia Proctor,#4,Seattle U Redhawks,Washington Huskies,0,11/03/25,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-1,True
Lucija Milkovic,#7,Seattle U Redhawks,Washington Huskies,0,11/03/25,14,3,4,7,0,0,2,1,2,2,5,0,0,0,0,4,14,True
Jana Vesic,#9,Seattle U Redhawks,Washington Huskies,0,11/03/25,18,1,1,2,2,0,0,4,1,1,9,0,3,4,4,6,-4,True
Chloe Emanga,#8,Seattle U Redhawks,Washington Huskies,0,11/03/25,15,0,1,1,0,1,0,1,3,1,4,1,1,0,0,3,5,True
Aaliyah Ibarra,#21,Seattle U Redhawks,Washington Huskies,0,11/03/25,12,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,-3,True
Lucy Larson,#22,Seattle U Redhawks,Washington Huskies,0,11/03/25,14,0,1,1,0,1,0,1,3,1,3,0,1,0,1,2,2,True
Yulia Grabovskaia,#55,Washington Huskies,Seattle U Redhawks,1,11/03/25,13,3,2,5,4,0,1,1,0,2,5,0,0,0,0,4,22,False
Avery Howell,#2,Washington Huskies,Seattle U Redhawks,1,11/03/25,19,0,4,4,0,0,0,0,1,5,5,4,4,4,5,18,31,False
Sayvia Sellers,#0,Washington Huskies,Seattle U Redhawks,1,11/03/25,17,0,3,3,6,4,1,4,1,9,13,1,4,2,3,21,56,False
Hannah Stines,#1,Washington Huskies,Seattle U Redhawks,1,11/03/25,22,0,4,4,5,3,0,0,1,3,8,0,0,1,2,7,36,False
Teagan Brown,#5,Washington Huskies,Seattle U Redhawks,1,11/03/25,22,1,1,2,1,1,0,0,0,3,3,0,0,0,0,6,19,False
Nina Cain,#25,Washington Huskies,Seattle U Redhawks,1,11/03/25,10,2,4,6,0,1,0,0,1,0,0,0,0,0,2,0,9,False
Brynn McGaughy,#21,Washington Huskies,Seattle U Redhawks,1,11/03/25,12,2,1,3,0,0,2,1,0,2,5,0,0,0,0,4,11,False
Olivia Anderson,#23,Washington Huskies,Seattle U Redhawks,1,11/03/25,12,3,0,3,1,0,4,1,1,1,4,0,1,3,4,5,18,False
Shayla Gillmer,#22,Washington Huskies,Seattle U Redhawks,1,11/03/25,12,2,1,3,0,1,1,1,0,1,2,0,0,0,2,2,9,False
Sienna Harvey,#35,Washington Huskies,Seattle U Redhawks,1,11/03/25,16,0,2,2,1,1,0,2,0,6,10,1,2,2,3,15,22,False
Devin Coppinger,#3,Washington Huskies,Seattle U Redhawks,1,11/03/25,22,3,0,3,1,0,0,0,3,1,5,0,3,0,0,2,3,False
Chloe Briggs,#11,Washington Huskies,Seattle U Redhawks,1,11/03/25,23,2,3,5,0,0,0,1,1,2,7,0,2,2,3,6,4,False
Erin Condron,#11,UC San Diego Tritons,Pacific Tigers,0,11/03/25,35,2,6,8,1,1,1,1,2,5,10,0,3,1,3,11,22,False
Lev Feiman,#13,UC San Diego Tritons,Pacific Tigers,0,11/03/25,24,2,2,4,0,4,0,0,1,5,11,1,1,4,4,15,35,False
Dymonique Maxie,#10,UC San Diego Tritons,Pacific Tigers,0,11/03/25,40,1,0,1,4,6,0,4,3,2,11,0,3,6,8,10,27,False
Makayla Rose,#4,UC San Diego Tritons,Pacific Tigers,0,11/03/25,30,0,1,1,1,3,0,1,3,6,12,1,4,3,3,16,28,False
Sabrina Ma,#15,UC San Diego Tritons,Pacific Tigers,0,11/03/25,35,0,2,2,3,1,0,1,2,2,11,1,7,0,0,5,6,False
Niya Price,#24,UC San Diego Tritons,Pacific Tigers,0,11/03/25,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,-4,False
Michaela Fairwell,#2,UC San Diego Tritons,Pacific Tigers,0,11/03/25,15,0,2,2,1,1,1,1,3,1,4,0,2,2,3,4,9,False
Nicki Polocheck,#21,UC San Diego Tritons,Pacific Tigers,0,11/03/25,2,1,0,1,0,0,0,0,0,1,2,0,1,0,0,2,2,False
Junae Mahan,#25,UC San Diego Tritons,Pacific Tigers,0,11/03/25,14,0,0,0,0,0,0,1,2,1,4,1,2,0,0,3,-1,False
