#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,efg%,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,didWin_sum,Previous School,clean_name,ImageURL
3,Ella Brubaker,Seattle U Redhawks,G,6-0,Graduate Student,"University Place, WA",UserTeam1,380.0,27.14,15.0,24.0,14.0,26.79,15.0,0.5,4.5,1.07,1.36,0.43,1.29,3.93,3.29,2.5,5.21,11.71,18.0,1.29,45.0,3.21,375.0,210.0,63.0,15.0,19.0,6.0,35.0,73.0,164.0,18.0,55.0,46.0,57.0,4.07,4.0,The Master's / Pepperdine,ella brubaker,https://goseattleu.com/imgproxy/8wjRPnIdRZZIbDOXp3TME-SUmsnEUYX3bvwlw-7XL-4/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS9NUEZSb0RjVmpqaFFvcktheXN5YnBnY2cwQmNOSGRjR1RyWGk2MXFVLnBuZw.png
4,Fia Proctor,Seattle U Redhawks,F,6-2,Sophomore,"Bothell, WA",FreeAgent,108.0,7.71,27.0,97.0,14.0,10.57,3.21,0.611,0.86,0.43,0.14,0.14,0.36,0.57,0.86,0.29,1.0,1.93,4.0,0.29,8.0,0.57,148.0,45.0,12.0,6.0,2.0,2.0,4.0,14.0,27.0,5.0,8.0,12.0,12.0,0.86,4.0,Wyoming,fia proctor,https://goseattleu.com/imgproxy/lT84Eiib8dxXLjZTLzwcEEjJ57UGhnWaudg-BO-H7HA/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS9MNzlmZG5sVG5ROXRNQzVnR3dCUnJkV09lakFQcDVIRGFDYWZKaWxXLnBuZw.png
5,Dylan Mogel,Seattle U Redhawks,G,5-9,Freshman,"Clackamas, OR",UserTeam3,173.0,12.36,49.0,77.0,14.0,24.71,2.43,0.382,2.21,2.5,1.0,0.36,0.07,0.14,0.36,2.0,1.0,2.71,9.0,0.64,22.0,1.57,346.0,34.0,31.0,35.0,14.0,5.0,28.0,14.0,38.0,1.0,2.0,5.0,6.0,0.43,4.0,,dylan mogel,https://goseattleu.com/imgproxy/GjzClbkFb4-W9mtTVxl3VaZ_1ZrH0WCOQzp4uRrZF3I/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS9TUWt3dnhLbXM5VHFUeGVCY2dCenlwc0ZnMmdkbWdiY3JVQTZzN2xxLnBuZw.png
6,Andjela Bigovic,Seattle U Redhawks,F,6-5,Graduate Student,"Herceg Novi, Montenegro",UserTeam6,178.0,17.8,20.0,75.0,10.0,21.8,7.9,0.454,4.2,0.9,0.6,1.0,1.1,3.7,0.0,1.4,3.4,8.7,9.0,0.9,33.0,3.3,218.0,79.0,42.0,9.0,6.0,10.0,14.0,34.0,87.0,11.0,37.0,0.0,0.0,0.0,4.0,Cochise College / Tarleton State,andjela bigovic,https://goseattleu.com/imgproxy/ds2UsutAxUfSsMMBunNd2IIBY9_GXOiNYonQM8yQQzA/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS9EbzRuSnI2WWtHcW1uOGx1Y2xaY1RrV004Y0pzN0EySldpczdPbUYxLnBuZw.png
7,Lucija Milkovic,Seattle U Redhawks,C,6-6,Junior,"Sibenik, Croatia",FreeAgent,214.0,17.83,3.0,62.0,12.0,17.5,7.67,0.587,4.67,0.67,0.33,0.58,0.33,0.67,0.33,1.67,3.5,6.25,13.0,1.08,43.0,3.58,210.0,92.0,56.0,8.0,4.0,7.0,20.0,42.0,75.0,4.0,8.0,4.0,9.0,0.75,3.0,Missouri,lucija milkovic,https://goseattleu.com/imgproxy/Y2iEJjG--ZJ35FBiK4Lfio9DERkR5zXEcJ3JCMnnyuc/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS9tZktnSEdkYmZETFdsa0FyeG8xbnpleDd1MWUzd0dtZjlwclpUUTdiLnBuZw.png
8,Chloe Emanga,Seattle U Redhawks,G,5-9,Freshman,"Marbach Am Neckar, Germany",FreeAgent,154.0,11.85,52.5,81.5,13.0,21.54,5.62,0.416,3.0,0.92,0.62,0.38,0.31,0.77,0.69,1.77,2.31,5.92,14.0,1.08,25.0,1.92,280.0,73.0,39.0,12.0,8.0,5.0,23.0,30.0,77.0,4.0,10.0,9.0,13.0,1.0,4.0,BasCats USC Heidelberg,chloe emanga,https://goseattleu.com/imgproxy/CfoRoMa7CQBDPXJA4SEv1d8OKSy4StWqGvLxTi4JMhE/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS82UEdENGZvZk16NVFVNFA5c01DWVBOQjhaWFo5T1NPRzc4SVVpa0dvLnBuZw.png
9,Jana Vesic,Seattle U Redhawks,G,5-7,Freshman,"Belgrade, Serbia",FreeAgent,208.0,14.86,40.0,64.0,14.0,25.36,8.14,0.425,1.5,3.14,0.43,0.21,0.57,2.21,1.71,2.93,2.93,7.57,4.0,0.29,17.0,1.21,355.0,114.0,21.0,44.0,6.0,3.0,41.0,41.0,106.0,8.0,31.0,24.0,35.0,2.5,4.0,,jana vesic,https://goseattleu.com/imgproxy/TRnpsePGP3bf6OKdSgsSEGk-j81iVKC0DE6AWhSOSU0/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS9VR2ZLc3FydXkyV0Z1MkZiTkk0Q0pySkhld3cyM1VEZVhHMWs3ZVMxLnBuZw.png
14,Tamia Stricklin,Seattle U Redhawks,F,6-0,R-Sr.,"Renton, WA",FreeAgent,313.0,24.08,12.0,34.0,13.0,25.54,10.77,0.5,6.69,1.54,0.92,0.38,1.08,3.0,1.38,2.38,4.15,9.38,19.0,1.46,68.0,5.23,332.0,140.0,87.0,20.0,12.0,5.0,31.0,54.0,122.0,14.0,39.0,18.0,23.0,1.77,4.0,Fresno State,tamia stricklin,https://goseattleu.com/imgproxy/hqdnYu8VbJjGaIhA0nssmoz8bxDh7cCPZKb3zncEwM4/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS9qT3o1QmpZSnVodGU0TnVub0dXUDAwQ3dFellYalM3UEZWbnpsSmR5LnBuZw.png
21,Aaliyah Ibarra,Seattle U Redhawks,G,5-8,Senior,"Las Vegas, NV",FreeAgent,33.0,4.12,79.0,126.0,8.0,13.5,2.38,0.348,1.0,0.12,0.88,0.12,0.25,1.75,0.38,0.75,0.88,2.88,0.0,0.0,8.0,1.0,108.0,19.0,8.0,1.0,7.0,1.0,6.0,7.0,23.0,2.0,14.0,3.0,5.0,0.62,3.0,Utah Tech,aaliyah ibarra,https://goseattleu.com/imgproxy/_TvXo-Wd26emOYoDBaIWFf6n66GR8yidVSZMwYhfao4/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS91UE5TTnZHY2JrQ1J6WWlkTXVwZE9Ta1J3Q1pnWUkxeE9nN1RSa2VCLnBuZw.png
22,Lucy Larson,Seattle U Redhawks,G,5-10,Sophomore,"Seattle, WA",UserTeam3,33.0,3.0,79.0,126.0,11.0,8.91,0.91,0.25,1.64,0.82,0.36,0.0,0.18,0.91,0.18,0.91,0.27,1.45,5.0,0.45,13.0,1.18,98.0,10.0,18.0,9.0,4.0,0.0,10.0,3.0,16.0,2.0,10.0,2.0,5.0,0.45,4.0,,lucy larson,https://goseattleu.com/imgproxy/dR1mTc9WB43roTFVu20B6gcm0knq8UA90sb7kmGCh0Y/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS8zWXVFQnJjUkFCSzJ6VVB2ejhTQnFFdHY0M0o4clh1WVAyUnRqSlZ3LnBuZw.png
