Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,efg%,PTS,FantasyPts,isWCC,weeknum
Lorena Barbosa,#10,Idaho Vandals,Washington State Cougars,1,11/03/25,15,3,1,4,0,0,2,7,4,2,5,0,1,6,7,0.4,10,6,False,0
Ana Pinheiro,#37,Idaho Vandals,Washington State Cougars,1,11/03/25,28,4,3,7,1,1,2,1,4,4,9,0,1,8,10,0.444,16,39,False,0
Ella Uriarte,#5,Idaho Vandals,Washington State Cougars,1,11/03/25,22,0,0,0,1,2,0,0,4,0,0,0,0,1,2,,1,12,False,0
Hope Hassmann,#4,Idaho Vandals,Washington State Cougars,1,11/03/25,31,1,3,4,4,1,0,4,2,7,18,1,3,2,2,0.417,17,31,False,0
Kyra Gardner,#3,Idaho Vandals,Washington State Cougars,1,11/03/25,33,1,7,8,0,5,1,1,1,9,16,6,10,2,3,0.75,26,70,False,0
Sarah Brans,#2,Idaho Vandals,Washington State Cougars,1,11/03/25,16,2,1,3,2,1,1,0,3,2,5,1,3,0,0,0.5,5,22,False,0
Debora dos Santos,#9,Idaho Vandals,Washington State Cougars,1,11/03/25,9,1,2,3,0,0,0,2,0,3,6,0,0,2,4,0.5,8,9,False,0
Katlin Kangur,#14,Idaho Vandals,Washington State Cougars,1,11/03/25,6,2,0,2,0,0,0,0,1,0,0,0,0,0,0,,0,3,False,0
Ana Beatriz Passos Alves da Silva,#23,Idaho Vandals,Washington State Cougars,1,11/03/25,20,3,1,4,0,1,0,2,1,0,2,0,0,0,0,0.0,0,2,False,0
Mary McMorris,#24,Idaho Vandals,Washington State Cougars,1,11/03/25,18,0,2,2,1,0,0,4,4,1,6,0,2,0,0,0.167,2,-7,False,0
Niveya Henley,#21,Idaho Vandals,Washington State Cougars,1,11/03/25,2,1,0,1,0,0,0,0,2,1,1,0,0,0,0,1.0,2,6,False,0
Tanja Valancic,#9,Washington State Cougars,Idaho Vandals,0,11/03/25,13,1,0,1,0,0,0,1,4,0,4,0,1,0,0,0.0,0,-6,True,0
Alex Covill,#33,Washington State Cougars,Idaho Vandals,0,11/03/25,12,2,1,3,2,0,0,3,4,1,4,0,0,0,0,0.25,2,2,True,0
Charlotte Abraham,#10,Washington State Cougars,Idaho Vandals,0,11/03/25,21,1,6,7,3,1,0,3,5,2,6,0,3,6,8,0.333,10,20,True,0
Mackenzie Chatfield,#8,Washington State Cougars,Idaho Vandals,0,11/03/25,30,1,2,3,4,1,0,4,3,2,4,0,0,1,4,0.5,5,13,True,0
Eleonora Villa,#2,Washington State Cougars,Idaho Vandals,0,11/03/25,38,1,1,2,3,2,0,4,1,10,19,2,6,2,4,0.579,24,41,True,0
Malia Ruud,#55,Washington State Cougars,Idaho Vandals,0,11/03/25,21,1,1,2,0,1,1,0,4,4,5,1,1,0,2,0.9,9,24,True,0
Keandra Koorits,#15,Washington State Cougars,Idaho Vandals,0,11/03/25,30,1,5,6,0,0,0,3,3,6,10,3,5,8,9,0.75,23,35,True,0
Marta Alsina,#12,Washington State Cougars,Idaho Vandals,0,11/03/25,31,0,5,5,1,3,2,2,3,5,7,2,4,0,0,0.857,12,42,True,0
Jean Chiu,#5,Washington State Cougars,Idaho Vandals,0,11/03/25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,True,0
Andjela Bigovic,#6,Seattle U Redhawks,Washington Huskies,0,11/03/25,17,0,1,1,0,0,1,1,0,2,5,0,2,0,0,0.4,4,5,True,0
Tamia Stricklin,#14,Seattle U Redhawks,Washington Huskies,0,11/03/25,24,2,2,4,0,1,0,6,3,6,11,0,0,0,0,0.545,12,12,True,0
Dylan Mogel,#5,Seattle U Redhawks,Washington Huskies,0,11/03/25,27,0,0,0,3,1,0,4,2,0,1,0,0,1,2,0.0,1,2,True,0
Sydnie Rodriguez,#24,Seattle U Redhawks,Washington Huskies,0,11/03/25,26,2,3,5,0,0,0,0,1,1,10,1,8,0,0,0.15,3,-4,True,0
Ella Brubaker,#3,Seattle U Redhawks,Washington Huskies,0,11/03/25,24,2,2,4,2,0,1,3,1,3,9,2,4,0,0,0.444,8,15,True,0
Fia Proctor,#4,Seattle U Redhawks,Washington Huskies,0,11/03/25,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0,-1,True,0
Lucija Milkovic,#7,Seattle U Redhawks,Washington Huskies,0,11/03/25,14,3,4,7,0,0,2,1,2,2,5,0,0,0,0,0.4,4,16,True,0
Jana Vesic,#9,Seattle U Redhawks,Washington Huskies,0,11/03/25,18,1,1,2,2,0,0,4,1,1,9,0,3,4,4,0.111,6,-3,True,0
Chloe Emanga,#8,Seattle U Redhawks,Washington Huskies,0,11/03/25,15,0,1,1,0,1,0,1,3,1,4,1,1,0,0,0.375,3,6,True,0
Aaliyah Ibarra,#21,Seattle U Redhawks,Washington Huskies,0,11/03/25,12,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0.0,0,-3,True,0
Lucy Larson,#22,Seattle U Redhawks,Washington Huskies,0,11/03/25,14,0,1,1,0,1,0,1,3,1,3,0,1,0,1,0.333,2,2,True,0
