Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,efg%,PTS,FantasyPts,isWCC,weeknum
Tessa Chaney,#34,Utah Valley Wolverines,Loyola Marymount Lions,1,11/05/25,27,2,1,3,0,1,1,4,1,6,12,0,0,1,2,0.5,13,20.0,False,0.0
Cambree Blackham,#5,Utah Valley Wolverines,Loyola Marymount Lions,1,11/05/25,35,0,1,1,7,6,1,6,2,3,9,0,3,2,4,0.333,8,36.0,False,0.0
Kylee Mabry,#1,Utah Valley Wolverines,Loyola Marymount Lions,1,11/05/25,33,1,1,2,3,3,0,3,2,4,11,2,5,0,1,0.455,10,25.0,False,0.0
Amanda Barcello,#3,Utah Valley Wolverines,Loyola Marymount Lions,1,11/05/25,37,0,3,3,4,2,0,1,1,4,11,2,6,2,2,0.455,12,34.0,False,0.0
Halle Nelson,#25,Utah Valley Wolverines,Loyola Marymount Lions,1,11/05/25,34,0,5,5,4,3,0,0,3,3,7,1,2,1,2,0.5,8,38.0,False,0.0
Kaylee Headrick,#14,Utah Valley Wolverines,Loyola Marymount Lions,1,11/05/25,14,0,5,5,0,0,1,1,1,2,5,1,2,1,2,0.5,6,14.0,False,0.0
Naia Tanuvasa,#21,Utah Valley Wolverines,Loyola Marymount Lions,1,11/05/25,3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,,0,0.0,False,0.0
Saige Gibb,#10,Utah Valley Wolverines,Loyola Marymount Lions,1,11/05/25,17,1,1,2,0,0,1,1,2,3,3,1,1,0,0,1.167,7,18.0,False,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Utah Valley Wolverines,0,11/05/25,30,1,7,8,1,0,1,2,2,5,9,0,0,1,2,0.556,11,26.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Utah Valley Wolverines,0,11/05/25,36,0,4,4,4,3,1,4,4,5,11,4,7,1,2,0.636,15,42.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Utah Valley Wolverines,0,11/05/25,29,2,6,8,1,1,0,2,3,2,8,0,1,1,2,0.25,5,11.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Utah Valley Wolverines,0,11/05/25,39,0,6,6,4,0,0,7,1,3,10,1,7,0,2,0.35,7,0.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Utah Valley Wolverines,0,11/05/25,29,0,2,2,4,2,0,3,1,3,5,1,3,5,5,0.7,12,32.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Utah Valley Wolverines,0,11/05/25,21,2,0,2,3,0,0,4,2,3,3,0,0,2,2,1.0,8,16.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Utah Valley Wolverines,0,11/05/25,11,1,1,2,0,0,0,2,3,1,4,0,0,0,0,0.25,2,-2.0,True,0.0
Mari Somvichian,#2,Loyola Marymount Lions,Utah Valley Wolverines,0,11/05/25,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,,0,-5.0,True,0.0
Brooke Murrell,#0,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,20,3,3,6,2,1,0,1,4,1,3,0,0,1,2,0.333,3,16.0,False,0.0
Ana Conde,#13,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,17,2,3,5,1,0,0,0,3,2,4,0,0,2,2,0.5,6,17.0,False,0.0
Tori Baker,#3,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,25,1,0,1,0,0,0,2,1,2,4,0,1,2,2,0.5,6,4.0,False,0.0
Coryn Watts,#10,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,38,1,4,5,2,1,0,4,2,9,19,2,8,3,5,0.526,23,32.0,False,0.0
Laia Monclova,#12,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,28,0,2,2,2,2,0,4,3,2,6,0,1,0,0,0.333,4,8.0,False,0.0
Teodora Simoncevic,#9,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,False,0.0
Laila McLeod,#1,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,6,0,1,1,0,0,1,1,1,0,2,0,1,0,0,0.0,0,-1.0,False,0.0
Lily Esparza,#32,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,18,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0.0,0,1.0,False,0.0
Jocelyn Medina,#15,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,23,2,2,4,1,1,1,4,3,4,9,2,4,2,2,0.556,12,21.0,False,0.0
Karolina Padilla,#11,Denver Pioneers,Loyola Marymount Lions,0,11/09/25,21,3,1,4,1,0,0,2,1,1,5,1,2,0,0,0.3,3,4.0,False,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,34,5,5,10,3,4,3,2,1,11,19,0,1,3,4,0.579,25,78.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,25,0,0,0,1,2,0,3,4,2,4,2,3,0,0,0.75,6,14.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,29,2,4,6,2,1,0,0,4,2,8,1,3,3,4,0.312,8,22.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,35,2,2,4,6,1,0,0,2,1,6,0,2,3,5,0.167,5,26.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,31,2,3,5,3,1,0,1,3,3,7,1,2,1,1,0.5,8,27.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,15,0,2,2,2,0,0,2,2,1,6,0,1,0,0,0.167,2,2.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,12,1,2,3,1,0,0,1,1,2,4,0,0,0,0,0.5,4,10.0,True,0.0
Mari Somvichian,#2,Loyola Marymount Lions,Denver Pioneers,1,11/09/25,19,0,0,0,0,1,0,1,4,2,4,2,4,0,0,0.75,6,11.0,True,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Nevada Wolf Pack,0,11/13/25,28,1,0,1,2,1,0,3,3,7,14,0,1,2,6,0.5,16,22.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Nevada Wolf Pack,0,11/13/25,34,0,3,3,5,1,0,7,1,5,8,2,3,0,0,0.75,12,25.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Nevada Wolf Pack,0,11/13/25,29,1,3,4,0,3,0,1,3,3,6,0,0,1,2,0.5,7,22.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Nevada Wolf Pack,0,11/13/25,36,0,4,4,3,0,0,3,0,4,9,3,7,1,1,0.611,12,22.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Nevada Wolf Pack,0,11/13/25,35,2,2,4,0,2,0,1,1,0,6,0,4,1,2,0.0,1,-1.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Nevada Wolf Pack,0,11/13/25,17,1,2,3,0,0,0,0,0,2,4,0,0,0,0,0.5,4,9.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Nevada Wolf Pack,0,11/13/25,11,1,0,1,0,0,0,0,1,0,0,0,0,0,0,,0,1.0,True,0.0
Mari Somvichian,#2,Loyola Marymount Lions,Nevada Wolf Pack,0,11/13/25,10,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0.0,0,-3.0,True,0.0
Makayla Carter,#23,Nevada Wolf Pack,Loyola Marymount Lions,1,11/13/25,18,0,0,0,1,1,0,2,5,0,1,0,0,4,4,0.0,4,8.0,False,0.0
Kendra Hicks,#34,Nevada Wolf Pack,Loyola Marymount Lions,1,11/13/25,17,1,3,4,1,0,0,1,1,1,2,0,0,0,0,0.5,2,8.0,False,0.0
Skylar Durley,#24,Nevada Wolf Pack,Loyola Marymount Lions,1,11/13/25,31,1,5,6,5,0,0,2,3,2,9,0,1,1,2,0.222,5,18.0,False,0.0
Izzy Sullivan,#2,Nevada Wolf Pack,Loyola Marymount Lions,1,11/13/25,33,0,3,3,2,1,1,2,0,7,12,1,1,0,0,0.625,15,38.0,False,0.0
Ahrray Young,#1,Nevada Wolf Pack,Loyola Marymount Lions,1,11/13/25,29,1,4,5,2,0,0,4,2,5,8,0,1,0,0,0.625,10,18.0,False,0.0
Maia Rosarion,#14,Nevada Wolf Pack,Loyola Marymount Lions,1,11/13/25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,-2.0,False,0.0
Tahj-Monet Bloom,#0,Nevada Wolf Pack,Loyola Marymount Lions,1,11/13/25,9,2,1,3,0,1,0,1,0,1,3,0,1,0,0,0.333,2,6.0,False,0.0
Imbie Jones,#3,Nevada Wolf Pack,Loyola Marymount Lions,1,11/13/25,17,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,0,-2.0,False,0.0
Amelia Raidaveta,#13,Nevada Wolf Pack,Loyola Marymount Lions,1,11/13/25,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.0,0,3.0,False,0.0
Chloe Williams,#10,Nevada Wolf Pack,Loyola Marymount Lions,1,11/13/25,20,0,1,1,0,2,0,1,1,2,2,0,0,0,0,1.0,4,14.0,False,0.0
Britain Backus,#11,Nevada Wolf Pack,Loyola Marymount Lions,1,11/13/25,12,0,0,0,0,2,0,2,2,3,4,2,3,0,0,1.0,8,18.0,False,0.0
Gabby Ramos,#4,Nevada Wolf Pack,Loyola Marymount Lions,1,11/13/25,12,0,0,0,1,0,0,0,0,2,3,1,1,1,1,0.833,6,15.0,False,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,28,3,2,5,1,0,1,4,5,5,14,0,0,2,2,0.357,12,16.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,34,0,2,2,2,0,0,1,4,2,8,1,5,0,0,0.312,5,6.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,29,3,3,6,2,2,0,0,3,5,9,0,1,5,6,0.556,15,40.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,38,0,4,4,2,4,0,1,1,3,11,2,5,1,2,0.364,9,28.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,16,1,2,3,0,1,0,0,4,1,4,1,3,1,3,0.375,4,8.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,22,0,3,3,0,0,0,0,2,2,4,1,2,1,4,0.625,6,9.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,9,0,2,2,0,0,0,0,2,0,0,0,0,0,0,,0,2.0,True,0.0
Lova Lagerlid,#10,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,15,2,3,5,0,0,0,0,0,0,3,0,2,0,2,0.0,0,-2.0,True,0.0
Mari Somvichian,#2,Loyola Marymount Lions,Hawai'i Rainbow Wahine,0,11/21/25,9,1,0,1,1,0,0,0,1,0,2,0,2,0,0,0.0,0,0.0,True,0.0
Rebecca Moors,#8,Hawai'i Rainbow Wahine,Loyola Marymount Lions,1,11/21/25,16,0,4,4,1,1,0,2,0,1,1,0,0,0,1,1.0,2,10.0,False,0.0
Imani Perez,#12,Hawai'i Rainbow Wahine,Loyola Marymount Lions,1,11/21/25,16,1,2,3,0,0,0,0,0,0,0,0,0,2,2,,2,7.0,False,0.0
Saniyah Neverson,#33,Hawai'i Rainbow Wahine,Loyola Marymount Lions,1,11/21/25,25,1,4,5,3,0,0,0,3,4,7,1,2,1,4,0.643,10,28.0,False,0.0
Bailey Flavell,#3,Hawai'i Rainbow Wahine,Loyola Marymount Lions,1,11/21/25,25,0,2,2,0,0,0,0,4,2,6,1,1,4,6,0.417,9,14.0,False,0.0
Teyahna Bond,#2,Hawai'i Rainbow Wahine,Loyola Marymount Lions,1,11/21/25,24,2,1,3,4,0,0,4,2,3,7,0,1,0,0,0.429,6,13.0,False,0.0
