jerseycolor,Name,gp,pts,ast,reb,fgm,fga,tpm,pts_mean,ast_mean,reb_mean,eFG%
blue,Maya Hernandez,1,25,3,10,11,19,0,25.0,3.0,10.0,0.579
white,Maya Hernandez,4,64,5,23,27,50,0,16.0,1.25,5.75,0.54
gray,Maya Hernandez,1,15,1,3,6,8,0,15.0,1.0,3.0,0.75
red,Maya Hernandez,3,42,6,14,19,40,0,14.0,2.0,4.67,0.475
black,Maya Hernandez,2,22,2,10,9,30,0,11.0,1.0,5.0,0.3
black,Jess Lawson,2,42,4,18,16,33,1,21.0,2.0,9.0,0.5
white,Jess Lawson,4,66,8,31,17,45,1,16.5,2.0,7.75,0.389
gray,Jess Lawson,1,13,4,13,4,14,0,13.0,4.0,13.0,0.286
red,Jess Lawson,3,39,5,19,13,24,0,13.0,1.67,6.33,0.542
blue,Jess Lawson,1,8,2,6,2,8,1,8.0,2.0,6.0,0.312
red,Andjela Matic,3,36,8,10,12,23,8,12.0,2.67,3.33,0.696
gray,Andjela Matic,1,10,4,3,4,10,2,10.0,4.0,3.0,0.5
white,Andjela Matic,4,38,17,16,11,35,5,9.5,4.25,4.0,0.386
blue,Andjela Matic,1,5,6,4,1,6,0,5.0,6.0,4.0,0.167
black,Andjela Matic,2,9,2,5,3,14,2,4.5,1.0,2.5,0.286
